model_name,ics,ics_precision,ics_recall,ips,qs_global,qs_best,lddt,tmscore_mmalign,rmsd,dockq_wave,tmscore_usalign,tmscore_usalign_aligned
H1236TS052_2.pdb,0.415,0.437,0.395,0.789,0.414,0.418,0.8,0.765,15.82,0.293,0.72278,0.72278
H1236TS022_2.pdb,0.415,0.437,0.395,0.789,0.414,0.418,0.8,0.765,15.82,0.293,0.72278,0.72278
H1236TS014_1.pdb,0.455,0.521,0.404,0.872,0.425,0.43,0.784,0.764,15.934,0.305,0.72217,0.72217
H1236TS450_4.pdb,0.356,0.407,0.316,0.809,0.361,0.364,0.797,0.764,15.512,0.296,0.72337,0.72337
H1236TS287_5.pdb,0.367,0.413,0.331,0.812,0.369,0.373,0.798,0.764,15.883,0.282,0.72182,0.72182
H1236TS204_1.pdb,0.369,0.394,0.347,0.843,0.372,0.374,0.787,0.764,15.927,0.289,0.72228,0.72228
H1236TS450_3.pdb,0.377,0.462,0.318,0.778,0.397,0.399,0.795,0.764,16.041,0.282,0.71942,0.71942
H1236TS167_4.pdb,0.356,0.407,0.316,0.809,0.361,0.364,0.797,0.764,15.512,0.296,0.72337,0.72337
H1236TS167_3.pdb,0.377,0.462,0.318,0.778,0.397,0.399,0.795,0.764,16.041,0.282,0.71942,0.71942
H1236TS218_2.pdb,0.373,0.413,0.34,0.827,0.371,0.373,0.802,0.763,15.999,0.288,0.71855,0.71855
H1236TS079_3.pdb,0.429,0.466,0.399,0.773,0.432,0.435,0.791,0.763,15.988,0.288,0.72014,0.72014
H1236TS293_4.pdb,0.449,0.454,0.445,0.789,0.465,0.467,0.78,0.763,16.085,0.306,0.72026,0.72026
H1236TS052_1.pdb,0.387,0.506,0.313,0.704,0.426,0.427,0.799,0.763,16.182,0.239,0.71702,0.71702
H1236TS022_1.pdb,0.387,0.506,0.313,0.704,0.426,0.427,0.799,0.763,16.182,0.239,0.71702,0.71702
H1236TS262_3.pdb,0.386,0.41,0.365,0.836,0.392,0.394,0.778,0.763,15.848,0.319,0.72201,0.72201
H1236TS079_4.pdb,0.449,0.454,0.445,0.789,0.465,0.467,0.78,0.763,16.085,0.306,0.72026,0.72026
H1236TS218_1.pdb,0.373,0.413,0.34,0.827,0.372,0.373,0.802,0.763,15.994,0.288,0.71856,0.71856
H1236TS008_4.pdb,0.385,0.434,0.346,0.833,0.377,0.379,0.738,0.763,16.021,0.292,0.71805,0.71805
H1236TS014_3.pdb,0.403,0.438,0.373,0.841,0.392,0.398,0.764,0.763,16.125,0.306,0.71968,0.71968
H1236TS293_3.pdb,0.429,0.466,0.399,0.773,0.432,0.435,0.791,0.763,15.988,0.288,0.72014,0.72014
H1236TS301_4.pdb,0.365,0.422,0.321,0.819,0.379,0.383,0.802,0.762,15.444,0.306,0.72478,0.72478
H1236TS425_1.pdb,0.375,0.416,0.341,0.825,0.382,0.385,0.795,0.762,16.031,0.29,0.71822,0.71822
H1236TS331_1.pdb,0.375,0.416,0.341,0.825,0.382,0.385,0.795,0.762,16.031,0.29,0.71822,0.71822
H1236TS075_4.pdb,0.365,0.422,0.321,0.819,0.379,0.383,0.802,0.762,15.444,0.306,0.72478,0.72478
H1236TS148_3.pdb,0.445,0.472,0.42,0.868,0.423,0.426,0.789,0.762,15.806,0.34,0.72268,0.72268
H1236TS462_1.pdb,0.445,0.472,0.42,0.868,0.423,0.426,0.789,0.762,15.806,0.34,0.72268,0.72268
H1236TS462_6.pdb,0.435,0.483,0.395,0.771,0.435,0.436,0.793,0.762,16.035,0.287,0.717,0.717
H1236TS262_4.pdb,0.39,0.407,0.374,0.836,0.393,0.395,0.775,0.762,15.891,0.322,0.722,0.722
H1236TS312_5.pdb,0.445,0.472,0.42,0.868,0.423,0.426,0.789,0.762,15.806,0.34,0.72268,0.72268
H1236TS319_1.pdb,0.375,0.416,0.341,0.825,0.382,0.385,0.795,0.762,16.031,0.29,0.71822,0.71822
H1236TS284_4.pdb,0.365,0.422,0.321,0.819,0.379,0.383,0.802,0.762,15.444,0.306,0.72478,0.72478
H1236TS475_4.pdb,0.365,0.422,0.321,0.819,0.379,0.383,0.802,0.762,15.444,0.306,0.72478,0.72478
H1236TS091_5.pdb,0.332,0.327,0.337,0.852,0.319,0.325,0.787,0.762,15.957,0.296,0.72037,0.72037
H1236TS051_1.pdb,0.375,0.416,0.341,0.825,0.382,0.385,0.795,0.762,16.031,0.29,0.71822,0.71822
H1236TS110_1.pdb,0.445,0.472,0.42,0.868,0.423,0.426,0.789,0.762,15.806,0.34,0.72268,0.72268
H1236TS147_5.pdb,0.445,0.472,0.42,0.868,0.423,0.426,0.789,0.762,15.806,0.34,0.72268,0.72268
H1236TS345_1.pdb,0.375,0.416,0.341,0.825,0.382,0.385,0.795,0.762,16.031,0.29,0.71822,0.71822
H1236TS028_3.pdb,0.445,0.472,0.42,0.868,0.423,0.426,0.789,0.762,15.806,0.34,0.72268,0.72268
H1236TS456_2.pdb,0.412,0.492,0.354,0.714,0.392,0.392,0.795,0.761,16.578,0.246,0.71915,0.71915
H1236TS031_4.pdb,0.426,0.439,0.414,0.794,0.431,0.433,0.79,0.761,15.941,0.3,0.72207,0.72207
H1236TS022_3.pdb,0.412,0.492,0.354,0.714,0.392,0.392,0.795,0.761,16.578,0.246,0.71915,0.71915
H1236TS052_3.pdb,0.412,0.492,0.354,0.714,0.392,0.392,0.795,0.761,16.578,0.246,0.71915,0.71915
H1236TS331_5.pdb,0.372,0.401,0.348,0.799,0.381,0.385,0.799,0.76,16.032,0.302,0.7209,0.7209
H1236TS393_3.pdb,0.378,0.435,0.334,0.773,0.391,0.392,0.797,0.76,16.222,0.286,0.71842,0.71842
H1236TS375_4.pdb,0.358,0.384,0.335,0.826,0.358,0.366,0.8,0.76,15.843,0.319,0.72169,0.72169
H1236TS425_5.pdb,0.372,0.401,0.348,0.799,0.381,0.385,0.799,0.76,16.032,0.302,0.7209,0.7209
H1236TS319_5.pdb,0.372,0.401,0.348,0.799,0.381,0.385,0.799,0.76,16.032,0.302,0.7209,0.7209
H1236TS091_2.pdb,0.381,0.401,0.364,0.828,0.404,0.408,0.788,0.76,15.894,0.321,0.72202,0.72202
H1236TS264_6.pdb,0.378,0.435,0.334,0.773,0.391,0.392,0.797,0.76,16.222,0.286,0.71842,0.71842
H1236TS312_3.pdb,0.378,0.435,0.334,0.773,0.391,0.392,0.797,0.76,16.222,0.286,0.71842,0.71842
H1236TS419_2.pdb,0.367,0.418,0.327,0.767,0.412,0.414,0.771,0.759,16.117,0.268,0.71674,0.71674
H1236TS456_5.pdb,0.429,0.507,0.372,0.811,0.426,0.433,0.807,0.759,16.11,0.319,0.71906,0.71906
H1236TS264_3.pdb,0.362,0.394,0.336,0.809,0.386,0.39,0.794,0.759,16.059,0.292,0.71989,0.71989
H1236TS322_1.pdb,0.437,0.461,0.414,0.784,0.418,0.419,0.769,0.759,16.1,0.293,0.71794,0.71794
H1236TS456_1.pdb,0.391,0.444,0.349,0.745,0.415,0.419,0.775,0.759,16.106,0.267,0.71766,0.71766
H1236TS290_5.pdb,0.382,0.447,0.333,0.748,0.361,0.365,0.801,0.759,16.164,0.27,0.71956,0.71956
H1236TS312_2.pdb,0.362,0.394,0.336,0.809,0.386,0.39,0.794,0.759,16.059,0.292,0.71989,0.71989
H1236TS148_4.pdb,0.437,0.461,0.414,0.784,0.418,0.419,0.769,0.759,16.1,0.293,0.71794,0.71794
H1236TS393_2.pdb,0.362,0.394,0.336,0.809,0.386,0.39,0.794,0.759,16.059,0.292,0.71989,0.71989
H1236TS219_1.pdb,0.437,0.461,0.414,0.784,0.418,0.419,0.769,0.759,16.1,0.293,0.71794,0.71794
H1236TS148_2.pdb,0.362,0.394,0.336,0.809,0.386,0.39,0.794,0.759,16.059,0.292,0.71989,0.71989
H1236TS489_1.pdb,0.394,0.508,0.321,0.775,0.432,0.435,0.8,0.759,16.465,0.272,0.72379,0.72379
H1236TS204_2.pdb,0.352,0.391,0.321,0.785,0.36,0.362,0.791,0.758,16.413,0.275,0.71424,0.71424
H1236TS274_2.pdb,0.348,0.363,0.335,0.799,0.344,0.348,0.766,0.758,16.226,0.273,0.71506,0.71506
H1236TS284_3.pdb,0.363,0.419,0.321,0.811,0.366,0.371,0.796,0.758,16.215,0.286,0.7172,0.7172
H1236TS075_3.pdb,0.363,0.419,0.321,0.811,0.366,0.371,0.796,0.758,16.215,0.286,0.7172,0.7172
H1236TS301_3.pdb,0.363,0.419,0.321,0.811,0.366,0.371,0.796,0.758,16.215,0.286,0.7172,0.7172
H1236TS204_3.pdb,0.386,0.408,0.366,0.786,0.376,0.379,0.796,0.758,16.264,0.29,0.71979,0.71979
H1236TS298_1.pdb,0.436,0.481,0.399,0.799,0.425,0.426,0.773,0.758,15.973,0.281,0.72036,0.72036
H1236TS423_1.pdb,0.436,0.481,0.399,0.799,0.425,0.426,0.773,0.758,15.973,0.281,0.72036,0.72036
H1236TS494_2.pdb,0.348,0.363,0.335,0.799,0.344,0.348,0.766,0.758,16.226,0.273,0.71506,0.71506
H1236TS475_3.pdb,0.363,0.419,0.321,0.811,0.366,0.371,0.796,0.758,16.215,0.286,0.7172,0.7172
H1236TS085_2.pdb,0.323,0.351,0.298,0.811,0.376,0.379,0.636,0.757,16.149,0.266,0.71582,0.71582
H1236TS375_5.pdb,0.389,0.471,0.332,0.818,0.389,0.39,0.798,0.757,15.494,0.304,0.72667,0.72667
H1236TS219_4.pdb,0.526,0.62,0.457,0.756,0.557,0.56,0.734,0.757,15.361,0.302,0.71958,0.71958
H1236TS147_4.pdb,0.434,0.46,0.411,0.773,0.418,0.42,0.802,0.757,16.166,0.29,0.7195,0.7195
H1236TS028_4.pdb,0.434,0.46,0.411,0.773,0.418,0.42,0.802,0.757,16.166,0.29,0.7195,0.7195
H1236TS014_2.pdb,0.421,0.442,0.403,0.868,0.413,0.42,0.787,0.757,15.97,0.343,0.7199,0.7199
H1236TS008_5.pdb,0.353,0.381,0.328,0.791,0.368,0.371,0.754,0.757,16.168,0.288,0.71335,0.71335
H1236TS274_1.pdb,0.373,0.444,0.322,0.765,0.377,0.379,0.765,0.757,16.81,0.261,0.71618,0.71618
H1236TS286_4.pdb,0.35,0.402,0.31,0.736,0.37,0.37,0.785,0.757,16.27,0.244,0.7181,0.7181
H1236TS322_4.pdb,0.526,0.62,0.457,0.756,0.557,0.56,0.734,0.757,15.361,0.302,0.71958,0.71958
H1236TS014_4.pdb,0.421,0.442,0.403,0.873,0.413,0.42,0.787,0.757,15.985,0.343,0.71987,0.71987
H1236TS462_4.pdb,0.434,0.46,0.411,0.773,0.418,0.42,0.802,0.757,16.166,0.29,0.7195,0.7195
H1236TS494_1.pdb,0.373,0.444,0.322,0.765,0.377,0.379,0.765,0.757,16.81,0.261,0.71618,0.71618
H1236TS110_4.pdb,0.434,0.46,0.411,0.773,0.418,0.42,0.802,0.757,16.166,0.29,0.7195,0.7195
H1236TS031_1.pdb,0.42,0.443,0.4,0.777,0.424,0.427,0.79,0.757,16.085,0.287,0.71833,0.71833
H1236TS091_1.pdb,0.371,0.405,0.341,0.777,0.375,0.379,0.785,0.756,16.329,0.29,0.72142,0.72142
H1236TS208_5.pdb,0.365,0.436,0.313,0.776,0.392,0.393,0.793,0.756,16.353,0.275,0.71689,0.71689
H1236TS286_2.pdb,0.348,0.398,0.309,0.729,0.37,0.37,0.785,0.756,16.28,0.243,0.71802,0.71802
H1236TS286_3.pdb,0.355,0.407,0.314,0.735,0.369,0.369,0.783,0.756,16.282,0.246,0.71648,0.71648
H1236TS375_3.pdb,0.372,0.416,0.337,0.789,0.388,0.393,0.798,0.755,16.149,0.292,0.7186,0.7186
H1236TS051_5.pdb,0.339,0.329,0.349,0.737,0.343,0.347,0.788,0.755,16.546,0.279,0.71583,0.71583
H1236TS208_1.pdb,0.353,0.356,0.35,0.769,0.345,0.349,0.79,0.755,16.499,0.273,0.71357,0.71357
H1236TS293_1.pdb,0.438,0.456,0.421,0.778,0.42,0.423,0.783,0.755,16.167,0.295,0.71749,0.71749
H1236TS286_5.pdb,0.35,0.401,0.311,0.73,0.369,0.369,0.785,0.755,16.287,0.244,0.71753,0.71753
H1236TS450_2.pdb,0.389,0.492,0.321,0.815,0.412,0.416,0.796,0.755,15.748,0.296,0.72154,0.72154
H1236TS079_1.pdb,0.438,0.456,0.421,0.778,0.42,0.423,0.783,0.755,16.167,0.295,0.71749,0.71749
H1236TS167_2.pdb,0.389,0.492,0.321,0.815,0.412,0.416,0.796,0.755,15.748,0.296,0.72154,0.72154
H1236TS031_5.pdb,0.409,0.439,0.383,0.751,0.42,0.42,0.776,0.755,16.276,0.274,0.71886,0.71886
H1236TS286_1.pdb,0.353,0.406,0.313,0.736,0.369,0.369,0.783,0.755,16.293,0.245,0.71754,0.71754
H1236TS311_4.pdb,0.386,0.449,0.338,0.773,0.39,0.397,0.795,0.754,16.393,0.284,0.72445,0.72445
H1236TS079_5.pdb,0.439,0.435,0.443,0.837,0.406,0.413,0.797,0.754,16.368,0.337,0.72049,0.72049
H1236TS241_2.pdb,0.37,0.386,0.355,0.808,0.365,0.37,0.775,0.754,16.18,0.299,0.71857,0.71857
H1236TS419_1.pdb,0.358,0.404,0.322,0.742,0.371,0.371,0.787,0.754,16.303,0.25,0.7174,0.7174
H1236TS052_5.pdb,0.347,0.351,0.344,0.835,0.336,0.341,0.798,0.754,15.862,0.323,0.72297,0.72297
H1236TS079_2.pdb,0.439,0.435,0.443,0.837,0.406,0.413,0.797,0.754,16.368,0.337,0.72049,0.72049
H1236TS465_2.pdb,0.411,0.435,0.389,0.745,0.423,0.424,0.791,0.754,16.254,0.277,0.71852,0.71852
H1236TS293_2.pdb,0.439,0.435,0.443,0.837,0.406,0.413,0.797,0.754,16.368,0.337,0.72049,0.72049
H1236TS293_5.pdb,0.439,0.435,0.443,0.837,0.406,0.413,0.797,0.754,16.368,0.337,0.72049,0.72049
H1236TS241_5.pdb,0.38,0.459,0.324,0.771,0.4,0.402,0.796,0.753,16.188,0.271,0.72488,0.72488
H1236TS311_2.pdb,0.438,0.495,0.393,0.827,0.464,0.47,0.802,0.753,15.561,0.321,0.7235,0.7235
H1236TS462_2.pdb,0.431,0.458,0.407,0.764,0.433,0.435,0.786,0.752,16.066,0.3,0.71598,0.71598
H1236TS028_2.pdb,0.431,0.458,0.407,0.764,0.433,0.435,0.786,0.752,16.066,0.3,0.71598,0.71598
H1236TS091_3.pdb,0.343,0.367,0.322,0.778,0.367,0.369,0.788,0.752,16.437,0.282,0.7151,0.7151
H1236TS450_1.pdb,0.337,0.332,0.343,0.816,0.346,0.353,0.79,0.752,16.272,0.297,0.7205,0.7205
H1236TS110_2.pdb,0.431,0.458,0.407,0.764,0.433,0.435,0.786,0.752,16.066,0.3,0.71598,0.71598
H1236TS167_1.pdb,0.337,0.332,0.343,0.816,0.346,0.353,0.79,0.752,16.272,0.297,0.7205,0.7205
H1236TS147_2.pdb,0.431,0.458,0.407,0.764,0.433,0.435,0.786,0.752,16.066,0.3,0.71598,0.71598
H1236TS241_4.pdb,0.35,0.364,0.338,0.786,0.339,0.343,0.786,0.752,16.749,0.266,0.70951,0.70951
H1236TS290_3.pdb,0.359,0.379,0.341,0.815,0.379,0.386,0.807,0.751,16.099,0.297,0.72237,0.72237
H1236TS110_5.pdb,0.42,0.481,0.372,0.749,0.394,0.398,0.778,0.75,16.314,0.262,0.7116,0.7116
H1236TS028_5.pdb,0.42,0.481,0.372,0.749,0.394,0.398,0.778,0.75,16.314,0.262,0.7116,0.7116
H1236TS423_2.pdb,0.434,0.478,0.397,0.769,0.433,0.435,0.752,0.75,16.246,0.276,0.70716,0.70716
H1236TS462_5.pdb,0.42,0.481,0.372,0.749,0.394,0.398,0.778,0.75,16.314,0.262,0.7116,0.7116
H1236TS008_1.pdb,0.365,0.38,0.352,0.821,0.392,0.394,0.762,0.75,16.272,0.301,0.71706,0.71706
H1236TS085_4.pdb,0.398,0.44,0.363,0.835,0.458,0.46,0.653,0.75,16.138,0.305,0.71812,0.71812
H1236TS091_4.pdb,0.383,0.407,0.362,0.806,0.418,0.419,0.788,0.75,16.465,0.302,0.71432,0.71432
H1236TS147_1.pdb,0.42,0.481,0.372,0.749,0.394,0.398,0.778,0.75,16.314,0.262,0.7116,0.7116
H1236TS298_2.pdb,0.434,0.478,0.397,0.769,0.433,0.435,0.752,0.75,16.246,0.276,0.70716,0.70716
H1236TS456_3.pdb,0.434,0.507,0.379,0.72,0.426,0.427,0.762,0.75,16.355,0.269,0.71061,0.71061
H1236TS075_1.pdb,0.368,0.385,0.352,0.809,0.356,0.364,0.805,0.749,16.534,0.312,0.71192,0.71192
H1236TS375_2.pdb,0.368,0.385,0.352,0.809,0.356,0.364,0.805,0.749,16.534,0.312,0.71192,0.71192
H1236TS284_1.pdb,0.368,0.385,0.352,0.809,0.356,0.364,0.805,0.749,16.534,0.312,0.71192,0.71192
H1236TS475_1.pdb,0.368,0.385,0.352,0.809,0.356,0.364,0.805,0.749,16.534,0.312,0.71192,0.71192
H1236TS267_5.pdb,0.526,0.52,0.532,0.899,0.489,0.501,0.806,0.749,15.567,0.538,0.71885,0.71885
H1236TS301_1.pdb,0.368,0.385,0.352,0.809,0.356,0.364,0.805,0.749,16.534,0.312,0.71192,0.71192
H1236TS008_2.pdb,0.35,0.384,0.322,0.833,0.371,0.38,0.738,0.747,16.704,0.288,0.70702,0.70702
H1236TS191_1.pdb,0.363,0.384,0.344,0.762,0.358,0.362,0.799,0.747,16.757,0.269,0.71441,0.71441
H1236TS147_3.pdb,0.43,0.481,0.388,0.776,0.413,0.413,0.793,0.746,16.518,0.27,0.70999,0.70999
H1236TS204_5.pdb,0.376,0.41,0.348,0.851,0.384,0.39,0.797,0.746,15.889,0.293,0.72072,0.72072
H1236TS110_3.pdb,0.43,0.481,0.388,0.776,0.413,0.413,0.793,0.746,16.518,0.27,0.70999,0.70999
H1236TS462_3.pdb,0.43,0.481,0.388,0.776,0.413,0.413,0.793,0.746,16.518,0.27,0.70999,0.70999
H1236TS028_1.pdb,0.43,0.481,0.388,0.776,0.413,0.413,0.793,0.746,16.518,0.27,0.70999,0.70999
H1236TS323_1.pdb,0.347,0.369,0.327,0.754,0.369,0.374,0.801,0.746,16.618,0.296,0.71662,0.71662
H1236TS331_2.pdb,0.35,0.345,0.356,0.842,0.361,0.371,0.792,0.745,16.272,0.324,0.71575,0.71575
H1236TS208_2.pdb,0.382,0.457,0.328,0.702,0.375,0.379,0.797,0.745,17.095,0.255,0.71095,0.71095
H1236TS319_2.pdb,0.35,0.345,0.356,0.842,0.361,0.371,0.792,0.745,16.272,0.324,0.71575,0.71575
H1236TS345_2.pdb,0.35,0.345,0.356,0.842,0.361,0.371,0.792,0.745,16.272,0.324,0.71575,0.71575
H1236TS051_2.pdb,0.35,0.345,0.356,0.842,0.361,0.371,0.792,0.745,16.272,0.324,0.71575,0.71575
H1236TS489_2.pdb,0.363,0.425,0.317,0.819,0.357,0.366,0.794,0.745,15.894,0.308,0.72298,0.72298
H1236TS425_2.pdb,0.35,0.345,0.356,0.842,0.361,0.371,0.792,0.745,16.272,0.324,0.71575,0.71575
H1236TS290_1.pdb,0.35,0.355,0.345,0.844,0.356,0.36,0.81,0.744,16.211,0.311,0.71923,0.71923
H1236TS311_1.pdb,0.354,0.35,0.359,0.761,0.349,0.354,0.789,0.744,16.646,0.269,0.71726,0.71726
H1236TS375_1.pdb,0.353,0.377,0.333,0.811,0.373,0.379,0.807,0.742,15.94,0.31,0.72394,0.72394
H1236TS301_2.pdb,0.32,0.313,0.328,0.806,0.331,0.336,0.8,0.741,16.295,0.305,0.71603,0.71603
H1236TS284_2.pdb,0.32,0.313,0.328,0.806,0.331,0.336,0.8,0.741,16.295,0.305,0.71603,0.71603
H1236TS475_5.pdb,0.352,0.35,0.354,0.849,0.36,0.373,0.807,0.741,16.582,0.315,0.71432,0.71432
H1236TS075_5.pdb,0.352,0.35,0.354,0.849,0.36,0.373,0.807,0.741,16.582,0.315,0.71432,0.71432
H1236TS301_5.pdb,0.352,0.35,0.354,0.849,0.36,0.373,0.807,0.741,16.582,0.315,0.71432,0.71432
H1236TS075_2.pdb,0.32,0.313,0.328,0.806,0.331,0.336,0.8,0.741,16.295,0.305,0.71603,0.71603
H1236TS272_1.pdb,0.355,0.367,0.343,0.801,0.366,0.374,0.811,0.741,16.074,0.298,0.72247,0.72247
H1236TS284_5.pdb,0.352,0.35,0.354,0.849,0.36,0.373,0.807,0.741,16.582,0.315,0.71432,0.71432
H1236TS475_2.pdb,0.32,0.313,0.328,0.806,0.331,0.336,0.8,0.741,16.295,0.305,0.71603,0.71603
H1236TS419_3.pdb,0.371,0.393,0.352,0.838,0.358,0.361,0.752,0.74,16.294,0.299,0.7061,0.7061
H1236TS489_5.pdb,0.369,0.424,0.327,0.754,0.382,0.385,0.799,0.74,16.577,0.265,0.71748,0.71748
H1236TS272_3.pdb,0.362,0.364,0.359,0.779,0.357,0.363,0.809,0.74,16.297,0.286,0.71749,0.71749
H1236TS221_5.pdb,0.371,0.497,0.296,0.649,0.41,0.41,0.742,0.74,16.756,0.24,0.70646,0.70646
H1236TS051_4.pdb,0.358,0.371,0.347,0.805,0.395,0.404,0.799,0.739,16.525,0.3,0.71785,0.71785
H1236TS331_4.pdb,0.358,0.371,0.347,0.805,0.395,0.404,0.799,0.739,16.525,0.3,0.71785,0.71785
H1236TS272_2.pdb,0.38,0.385,0.375,0.766,0.359,0.369,0.814,0.739,16.235,0.307,0.71736,0.71736
H1236TS218_3.pdb,0.367,0.393,0.345,0.742,0.356,0.358,0.803,0.739,16.483,0.274,0.7164,0.7164
H1236TS425_4.pdb,0.358,0.371,0.347,0.805,0.395,0.404,0.799,0.739,16.525,0.3,0.71785,0.71785
