model_name,ics,ics_precision,ics_recall,ips,qs_global,qs_best,lddt,tmscore_mmalign,rmsd,dockq_wave,tmscore_usalign,tmscore_usalign_aligned
T1294v1TS425_1o.pdb,0.842,0.833,0.852,0.864,0.937,0.937,0.915,0.989,0.802,0.854,0.98867,0.98875
T1294v1TS208_3o.pdb,0.858,0.805,0.919,0.911,0.952,0.952,0.921,0.989,0.86,0.916,0.98882,0.9888
T1294v1TS051_6o.pdb,0.836,0.821,0.852,0.823,0.937,0.937,0.915,0.989,0.784,0.856,0.98915,0.98926
T1294v1TS079_4o.pdb,0.838,0.854,0.822,0.833,0.938,0.938,0.914,0.989,0.807,0.843,0.98858,0.98868
T1294v1TS014_1o.pdb,0.832,0.82,0.844,0.866,0.925,0.925,0.897,0.988,0.835,0.849,0.98773,0.98786
T1294v1TS059_6o.pdb,0.797,0.809,0.785,0.8,0.915,0.915,0.885,0.988,0.828,0.824,0.98796,0.98821
T1294v1TS059_5o.pdb,0.797,0.809,0.785,0.8,0.915,0.915,0.885,0.988,0.828,0.824,0.98796,0.98821
T1294v1TS031_1o.pdb,0.848,0.851,0.844,0.852,0.938,0.938,0.913,0.988,0.816,0.85,0.98825,0.98832
T1294v1TS139_6o.pdb,0.809,0.803,0.815,0.845,0.914,0.914,0.887,0.988,0.818,0.835,0.98825,0.9885
T1294v1TS331_3o.pdb,0.827,0.804,0.852,0.857,0.942,0.942,0.918,0.988,0.881,0.892,0.98836,0.98879
T1294v1TS163_5o.pdb,0.854,0.864,0.844,0.89,0.934,0.934,0.902,0.988,0.837,0.849,0.98758,0.98777
T1294v1TS014_2o.pdb,0.847,0.835,0.859,0.883,0.929,0.929,0.899,0.988,0.812,0.856,0.98823,0.98838
T1294v1TS147_1o.pdb,0.839,0.827,0.852,0.856,0.936,0.936,0.913,0.988,0.809,0.853,0.98848,0.98856
T1294v1TS028_3o.pdb,0.839,0.827,0.852,0.856,0.936,0.936,0.913,0.988,0.809,0.853,0.98848,0.98856
T1294v1TS167_5o.pdb,0.843,0.85,0.837,0.856,0.948,0.948,0.918,0.988,0.887,0.889,0.98845,0.98843
T1294v1TS164_3o.pdb,0.855,0.858,0.852,0.891,0.934,0.934,0.904,0.988,0.807,0.856,0.98842,0.98862
T1294v1TS423_1o.pdb,0.843,0.921,0.778,0.857,0.937,0.937,0.915,0.988,0.826,0.83,0.98789,0.98796
T1294v1TS423_3o.pdb,0.85,0.908,0.8,0.867,0.938,0.938,0.906,0.988,0.815,0.838,0.98823,0.98831
T1294v1TS198_2o.pdb,0.839,0.795,0.889,0.892,0.932,0.932,0.905,0.988,0.853,0.878,0.98818,0.98831
T1294v1TS319_2o.pdb,0.827,0.804,0.852,0.857,0.942,0.942,0.918,0.988,0.881,0.892,0.98836,0.98879
T1294v1TS298_3o.pdb,0.85,0.908,0.8,0.867,0.938,0.938,0.906,0.988,0.815,0.838,0.98823,0.98831
T1294v1TS298_1o.pdb,0.843,0.921,0.778,0.857,0.937,0.937,0.915,0.988,0.826,0.83,0.98789,0.98796
T1294v1TS014_4o.pdb,0.831,0.825,0.837,0.865,0.927,0.927,0.894,0.988,0.831,0.846,0.98777,0.98793
T1294v1TS164_5o.pdb,0.856,0.876,0.837,0.89,0.934,0.934,0.903,0.988,0.815,0.849,0.9882,0.98841
T1294v1TS145_2o.pdb,0.857,0.809,0.911,0.892,0.931,0.931,0.905,0.988,0.852,0.886,0.98822,0.98835
T1294v1TS163_3o.pdb,0.858,0.865,0.852,0.89,0.936,0.936,0.903,0.988,0.81,0.856,0.98833,0.98853
T1294v1TS261_2o.pdb,0.803,0.806,0.8,0.811,0.93,0.93,0.854,0.988,0.835,0.829,0.98764,0.98776
T1294v1TS425_4o.pdb,0.827,0.804,0.852,0.857,0.942,0.942,0.918,0.988,0.881,0.892,0.98836,0.98879
T1294v1TS031_2o.pdb,0.841,0.838,0.844,0.853,0.938,0.938,0.913,0.988,0.81,0.851,0.98841,0.98847
T1294v1TS462_1o.pdb,0.839,0.827,0.852,0.856,0.936,0.936,0.913,0.988,0.809,0.853,0.98848,0.98856
T1294v1TS122_5o.pdb,0.823,0.838,0.807,0.853,0.943,0.943,0.908,0.987,0.877,0.851,0.98742,0.98741
T1294v1TS284_4o.pdb,0.823,0.838,0.807,0.853,0.943,0.943,0.908,0.987,0.877,0.851,0.98742,0.98741
T1294v1TS388_5o.pdb,0.768,0.835,0.711,0.766,0.928,0.928,0.891,0.987,0.895,0.823,0.98669,0.98688
T1294v1TS015_6o.pdb,0.826,0.795,0.859,0.835,0.939,0.939,0.902,0.987,0.917,0.88,0.98698,0.98709
T1294v1TS301_4o.pdb,0.823,0.838,0.807,0.853,0.943,0.943,0.908,0.987,0.877,0.851,0.98742,0.98741
T1294v1TS388_3o.pdb,0.828,0.819,0.837,0.832,0.938,0.938,0.901,0.987,0.897,0.868,0.98697,0.98723
T1294v1TS475_4o.pdb,0.823,0.838,0.807,0.853,0.943,0.943,0.908,0.987,0.877,0.851,0.98742,0.98741
T1294v1TS163_4o.pdb,0.853,0.869,0.837,0.89,0.935,0.935,0.899,0.987,0.845,0.848,0.98733,0.98751
T1294v1TS075_4o.pdb,0.823,0.838,0.807,0.853,0.943,0.943,0.908,0.987,0.877,0.851,0.98742,0.98741
T1294v1TS261_5o.pdb,0.831,0.864,0.8,0.826,0.925,0.925,0.848,0.987,0.857,0.831,0.98681,0.9869
T1294v1TS014_5o.pdb,0.848,0.83,0.867,0.875,0.929,0.929,0.899,0.987,0.843,0.855,0.98741,0.98756
T1294v1TS393_2o.pdb,0.851,0.857,0.844,0.89,0.937,0.937,0.902,0.986,0.956,0.868,0.98591,0.98648
T1294v1TS075_5o.pdb,0.842,0.855,0.83,0.872,0.941,0.941,0.906,0.986,0.947,0.86,0.98622,0.98624
T1294v1TS312_1o.pdb,0.832,0.858,0.807,0.852,0.943,0.943,0.904,0.986,0.975,0.846,0.98569,0.98568
T1294v1TS264_6o.pdb,0.823,0.838,0.807,0.852,0.94,0.94,0.902,0.986,0.961,0.848,0.98572,0.9857
T1294v1TS301_2o.pdb,0.848,0.868,0.83,0.889,0.944,0.944,0.906,0.986,0.936,0.858,0.98626,0.98625
T1294v1TS456_5o.pdb,0.837,0.837,0.837,0.861,0.942,0.942,0.903,0.986,0.965,0.859,0.98582,0.98579
T1294v1TS052_2o.pdb,0.829,0.852,0.807,0.861,0.944,0.944,0.904,0.986,0.965,0.85,0.98579,0.98577
T1294v1TS014_6o.pdb,0.839,0.827,0.852,0.883,0.928,0.928,0.897,0.986,0.882,0.844,0.98632,0.98644
T1294v1TS122_3o.pdb,0.848,0.868,0.83,0.889,0.944,0.944,0.906,0.986,0.936,0.858,0.98626,0.98625
T1294v1TS393_6o.pdb,0.823,0.838,0.807,0.852,0.94,0.94,0.902,0.986,0.961,0.848,0.98572,0.9857
T1294v1TS022_2o.pdb,0.829,0.852,0.807,0.861,0.944,0.944,0.904,0.986,0.965,0.85,0.98579,0.98577
T1294v1TS264_1o.pdb,0.832,0.858,0.807,0.852,0.943,0.943,0.904,0.986,0.975,0.846,0.98569,0.98568
T1294v1TS301_5o.pdb,0.842,0.855,0.83,0.872,0.941,0.941,0.906,0.986,0.947,0.86,0.98622,0.98624
T1294v1TS475_5o.pdb,0.842,0.855,0.83,0.872,0.941,0.941,0.906,0.986,0.947,0.86,0.98622,0.98624
T1294v1TS262_3o.pdb,0.797,0.825,0.77,0.8,0.932,0.932,0.878,0.986,0.9,0.818,0.98597,0.98661
T1294v1TS284_2o.pdb,0.848,0.868,0.83,0.889,0.944,0.944,0.906,0.986,0.936,0.858,0.98626,0.98625
T1294v1TS075_2o.pdb,0.848,0.868,0.83,0.889,0.944,0.944,0.906,0.986,0.936,0.858,0.98626,0.98625
T1294v1TS393_1o.pdb,0.832,0.858,0.807,0.852,0.943,0.943,0.904,0.986,0.975,0.846,0.98569,0.98568
T1294v1TS264_2o.pdb,0.851,0.857,0.844,0.89,0.937,0.937,0.902,0.986,0.956,0.868,0.98591,0.98648
T1294v1TS148_2o.pdb,0.851,0.857,0.844,0.89,0.937,0.937,0.902,0.986,0.956,0.868,0.98591,0.98648
T1294v1TS475_2o.pdb,0.848,0.868,0.83,0.889,0.944,0.944,0.906,0.986,0.936,0.858,0.98626,0.98625
T1294v1TS456_2o.pdb,0.829,0.852,0.807,0.861,0.944,0.944,0.904,0.986,0.965,0.85,0.98579,0.98577
T1294v1TS148_1o.pdb,0.832,0.858,0.807,0.852,0.943,0.943,0.904,0.986,0.975,0.846,0.98569,0.98568
T1294v1TS284_5o.pdb,0.842,0.855,0.83,0.872,0.941,0.941,0.906,0.986,0.947,0.86,0.98622,0.98624
T1294v1TS208_4o.pdb,0.83,0.846,0.815,0.862,0.941,0.941,0.905,0.986,0.954,0.852,0.98586,0.98584
T1294v1TS122_4o.pdb,0.842,0.855,0.83,0.872,0.941,0.941,0.906,0.986,0.947,0.86,0.98622,0.98624
T1294v1TS312_2o.pdb,0.851,0.857,0.844,0.89,0.937,0.937,0.902,0.986,0.956,0.868,0.98591,0.98648
T1294v1TS014_3o.pdb,0.835,0.826,0.844,0.883,0.927,0.927,0.895,0.986,0.88,0.842,0.98631,0.98646
T1294v1TS022_5o.pdb,0.837,0.837,0.837,0.861,0.942,0.942,0.903,0.986,0.965,0.859,0.98582,0.98579
T1294v1TS052_5o.pdb,0.837,0.837,0.837,0.861,0.942,0.942,0.903,0.986,0.965,0.859,0.98582,0.98579
T1294v1TS287_5o.pdb,0.835,0.865,0.807,0.87,0.939,0.939,0.901,0.985,1.009,0.853,0.98477,0.98477
T1294v1TS264_3o.pdb,0.837,0.859,0.815,0.861,0.941,0.941,0.904,0.985,0.997,0.851,0.98489,0.98487
T1294v1TS393_4o.pdb,0.837,0.859,0.815,0.861,0.941,0.941,0.904,0.985,0.997,0.851,0.98489,0.98487
T1294v1TS075_3o.pdb,0.823,0.838,0.807,0.853,0.94,0.94,0.905,0.985,0.981,0.845,0.98525,0.98524
T1294v1TS287_2o.pdb,0.828,0.857,0.8,0.852,0.938,0.938,0.903,0.985,0.978,0.85,0.98543,0.98543
T1294v1TS148_3o.pdb,0.826,0.845,0.807,0.852,0.942,0.942,0.906,0.985,0.985,0.843,0.98522,0.98521
T1294v1TS284_1o.pdb,0.842,0.855,0.83,0.873,0.942,0.942,0.899,0.985,1.013,0.856,0.98468,0.98467
T1294v1TS312_5o.pdb,0.828,0.857,0.8,0.852,0.941,0.941,0.903,0.985,1.007,0.84,0.98478,0.98474
T1294v1TS262_1o.pdb,0.85,0.803,0.904,0.894,0.942,0.942,0.883,0.985,0.982,0.885,0.98516,0.98572
T1294v1TS261_3o.pdb,0.817,0.843,0.793,0.807,0.929,0.929,0.855,0.985,0.93,0.813,0.98454,0.9847
T1294v1TS284_3o.pdb,0.823,0.838,0.807,0.853,0.94,0.94,0.905,0.985,0.981,0.845,0.98525,0.98524
T1294v1TS221_5o.pdb,0.812,0.824,0.8,0.845,0.943,0.943,0.893,0.985,1.002,0.835,0.98459,0.98461
T1294v1TS051_3o.pdb,0.848,0.868,0.83,0.888,0.94,0.94,0.904,0.985,0.988,0.862,0.98528,0.9853
T1294v1TS345_2o.pdb,0.848,0.868,0.83,0.888,0.94,0.94,0.904,0.985,0.988,0.862,0.98528,0.9853
T1294v1TS312_4o.pdb,0.837,0.859,0.815,0.861,0.941,0.941,0.904,0.985,0.997,0.851,0.98489,0.98487
T1294v1TS475_3o.pdb,0.823,0.838,0.807,0.853,0.94,0.94,0.905,0.985,0.981,0.845,0.98525,0.98524
T1294v1TS208_5o.pdb,0.833,0.853,0.815,0.868,0.942,0.942,0.903,0.985,0.991,0.846,0.98503,0.98502
T1294v1TS419_4o.pdb,0.834,0.871,0.8,0.85,0.94,0.94,0.885,0.985,0.981,0.84,0.98508,0.98512
T1294v1TS075_1o.pdb,0.842,0.855,0.83,0.873,0.942,0.942,0.899,0.985,1.013,0.856,0.98468,0.98467
T1294v1TS312_3o.pdb,0.826,0.845,0.807,0.852,0.942,0.942,0.906,0.985,0.985,0.843,0.98522,0.98521
T1294v1TS301_3o.pdb,0.823,0.838,0.807,0.853,0.94,0.94,0.905,0.985,0.981,0.845,0.98525,0.98524
T1294v1TS264_4o.pdb,0.828,0.857,0.8,0.852,0.941,0.941,0.903,0.985,1.007,0.84,0.98478,0.98474
T1294v1TS393_3o.pdb,0.826,0.845,0.807,0.852,0.942,0.942,0.906,0.985,0.985,0.843,0.98522,0.98521
T1294v1TS148_4o.pdb,0.837,0.859,0.815,0.861,0.941,0.941,0.904,0.985,0.997,0.851,0.98489,0.98487
T1294v1TS122_1o.pdb,0.842,0.855,0.83,0.873,0.942,0.942,0.899,0.985,1.013,0.856,0.98468,0.98467
T1294v1TS475_1o.pdb,0.842,0.855,0.83,0.873,0.942,0.942,0.899,0.985,1.013,0.856,0.98468,0.98467
T1294v1TS301_1o.pdb,0.842,0.855,0.83,0.873,0.942,0.942,0.899,0.985,1.013,0.856,0.98468,0.98467
T1294v1TS264_5o.pdb,0.826,0.845,0.807,0.852,0.942,0.942,0.906,0.985,0.985,0.843,0.98522,0.98521
T1294v1TS122_2o.pdb,0.823,0.838,0.807,0.853,0.94,0.94,0.905,0.985,0.981,0.845,0.98525,0.98524
T1294v1TS148_5o.pdb,0.828,0.857,0.8,0.852,0.941,0.941,0.903,0.985,1.007,0.84,0.98478,0.98474
T1294v1TS287_1o.pdb,0.839,0.848,0.83,0.889,0.939,0.939,0.905,0.985,0.999,0.861,0.98503,0.98502
T1294v1TS419_5o.pdb,0.821,0.844,0.8,0.835,0.94,0.94,0.89,0.985,0.973,0.838,0.98523,0.98522
